Manager,AID (v1),Occurrences
Unspecified,21266,363
Unspecified,21267,281
Unspecified,21271,185
Unspecified,21137,157
Unspecified,21135,102
Unspecified,21270,94
Unspecified,21139,51
Unspecified,21168,50
Unspecified,21170,33
Unspecified,21165,27
Unspecified,21136,21
Unspecified,21138,11
Unspecified,43278,5
Unspecified,21134,3
Unspecified,34126,3
Unspecified,34103,2
Unspecified,33967,1
