## SC	SiteCatalyst SAINT Import File	v:2.1
## SC	'## SC' indicates a SiteCatalyst pre-process header. Please do not remove these lines.
## SC	D:2022-08-29 16:07:04	A:249457:101
Key	Name	Manager	Department	Brand	Type	Channel	Network	Delivery	Device
12085	Bing: Brand Mobile - Brand Reviews 1	Online - PPC Search NB Bing	Paid Search - Non-Brand	CreditRepair	Other	Search	Bing	nan	nan
12088	Bing: NBrand Desktop - Credit Repair Keyword	Online - PPC Search NB Bing	Paid Search - Non-Brand	CreditRepair	Other	Search	Bing	nan	nan
12089	Bing: NBrand Mobile - Credit Repair Keyword	Online - PPC Search NB Bing	Paid Search - Non-Brand	CreditRepair	Other	Search	Bing	nan	nan
12099	Google: Brand Mobile - CreditRepair.com	Online - PPC Search Brand Google	Paid Search - Brand	CreditRepair	Other	Search	Google	nan	nan
12302	Bing: NBrand Desktop - Credit Repair 2	Online - PPC Search NB Bing	Paid Search - Non-Brand	CreditRepair	Other	Search	Bing	nan	nan
12404	Simple Thrifty Living - Jeff Hunter	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
12489	Gemini: Brand Desktop - CreditRepair.com	Online - PPC Search Brand Gemini	Paid Search - Brand	CreditRepair	Other	Search	Other	nan	nan
12637	Consumers Advocate Group - Ad Practitioners, LLC	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
13970	CR_RMKTG_SFMC_FOG_2 - Retired	Remarketing - FOG Email	Remarketing	CreditRepair	Other	Other	Other	nan	nan
14245	Lending Tree - Online - MyLendingTree	Online - Affiliate NB	Affiliate	CreditRepair	Other	Other	Other	nan	nan
14284	CR_RMKTG_SFMC_FOG_3 - Retired	Remarketing - FOG Email	Remarketing	CreditRepair	Other	Other	Other	nan	nan
14605	Geist: NBrand - ExpOutbrain DRT	Online - PPC Display Geist	Display	CreditRepair	Other	Other	Other	nan	nan
14606	Geist: NBrand - ExpOutbrain MRT	Online - PPC Display Geist	Display	CreditRepair	Other	Other	Other	nan	nan
14614	Google: NBrand Mobile - Alpha Campaigns - 3Q	Online - PPC Search NB Capture	Paid Search - Non-Brand	CreditRepair	Other	Other	Other	nan	nan
15307	Geist: NBrand - Plight Facebook	Online - PPC Display Geist	Display	CreditRepair	Other	Other	Other	nan	nan
15309	Geist: NBrand - Plight Facebook	Online - PPC Display Geist	Display	CreditRepair	Other	Other	Other	nan	nan
15440	Adcloud - CR RM - 49 Test	Online - PPC Display AdCloud	Display	CreditRepair	Other	Other	Other	nan	nan
15459	Bing: Brand Desktop - CR_Bing_Search_Alpha	Online - PPC Search Brand Bing	Paid Search - Brand	CreditRepair	Other	Search	Bing	nan	nan
15466	Bing: NBrand Mobile - CR_Bing_Search_Alpha	Online - PPC Search NB Bing	Paid Search - Non-Brand	CreditRepair	Other	Search	Bing	nan	nan
15481	Geist: NBrand - Divorce Outbrain Mobile	Online - PPC Display Geist	Display	CreditRepair	Other	Other	Other	nan	nan
15536	Bing: NBrand Desktop - Credit Repair 3 	Online - PPC Search NB Bing	Paid Search - Non-Brand	CreditRepair	Other	Search	Bing	nan	nan
15542	Bing: Brand Mobile - Creditrepair.com	Online - PPC Search Brand Bing	Paid Search - Brand	CreditRepair	Other	Search	Bing	nan	nan
15599	Bing: Brand Desktop - Creditrepair.com	Online - PPC Search Brand Bing	Paid Search - Brand	CreditRepair	Other	Search	Bing	nan	nan
15621	GMB: CreditRepair.com - Chicago, IL	Online - Natural Search	Natural Search	CreditRepair	Other	Other	Other	nan	nan
15630	TV|Denied^Local Cable@COMSCH 60_8443463076?Local Cable#Sports	Brand - Direct Entry	Direct	CreditRepair	Other	Other	Other	nan	nan
15633	Shared Mail 	Offline - Print	Offline	CreditRepair	Other	Other	Other	nan	nan
