## SC	SiteCatalyst SAINT Import File	v:2.1
## SC	'## SC' indicates a SiteCatalyst pre-process header. Please do not remove these lines.
## SC	D:2022-08-29 16:07:04	A:249457:101
Key	Name	Manager	Department	Brand	Type	Channel	Network	Delivery	Device
2256	F+HD_Email Discount	Remarketing - FFHD Email	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
2257	Pending_Email F+HD	Remarketing - FFHD Email	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
2283	Credit Access Email 1 - Retired	Remarketing - CA Email	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
2288	Credit Karma - Authenticated Users - Score Center Notifications	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2290	Credit Karma - MyCredit-ReportCardAnn	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2311	SkyRocket Bing - CATCH ALL	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2312	SkyRocket SEO	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2314	SkyRocket Google - CATCH ALL	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2336	Credit Karma - Yahoo! Display	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2365	America One Funding/ AmOne (Online)	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2393	Credit Access SMS 2	Remarketing - CA SMS	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
2402	CA-NL SMS Day20 Test B	Remarketing - SMS	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
2417	Lending Club - Online	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2447	Credit Karma - iPhone	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2449	Credit Karma - New Area of Site (Dec)	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2464	Credit Access SMS 5	Remarketing - CA SMS	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
2524	LL SMS Day86 Test B	Remarketing - SMS	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
2525	FindLaw	Online - Natural Search	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
2537	Credit Access SMS 7	Remarketing - CA SMS	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
2540	Online - PPC Display New5	Online - PPC Display Other	Display	LexingtonLaw	Other	Native	Native	nan	nan
2542	Credit Access SMS 1	Remarketing - CA SMS	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
2551	SkyRocket Google - 1	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2572	NB - Off Hours LP (Desktop)	Online - PPC Other Legacy	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Other	nan	nan
2588	Yelp.com 	Online - Natural Search	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
2631	Homefront Management & Marketing Inc.	Financial - Other	Finance Mortgage	LexingtonLaw	Other	Other	Other	nan	nan
2637	Partner Lead Email 3	Lead Gen - Remarketing	Lead Gen	LexingtonLaw	Other	Other	Other	nan	nan
2680	Drips: SMS CCOM	Credit.com	Freemium & Email	LexingtonLaw	Other	Other	Other	nan	nan
2687	Compare Cards	Financial - Other	Finance Mortgage	LexingtonLaw	Other	Other	Other	nan	nan
2706	Digital Brands Inc.	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2720	SkyRocket - Brand	Online - Affiliate Brand	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2729	Online - PPC Display Old3	Online - PPC Display Other	Display	LexingtonLaw	Other	Native	Native	nan	nan
2795	Drips: SMS Credit.com discount	Credit.com	Freemium & Email	LexingtonLaw	Other	Other	Other	nan	nan
2814	GMB - Santa Ana, CA	Online - Natural Search	Natural Search	LexingtonLaw	Other	Other	Other	nan	nan
2866	Google: Brand Desktop - LEX Reviews 1	Online - PPC Google BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Google	nan	nan
2867	Google: Brand Mobile - LEX Reviews 1	Online - PPC Google BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Google	nan	nan
2872	Google: Brand Desktop - LEX Negative 2	Online - PPC Google BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Google	nan	nan
2874	Google: NBrand Desktop - Credit Repair 2	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
2875	Google: NBrand Mobile - Credit Repair 2	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
2876	Google: NBrand Desktop - Clean Credit 1	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
2878	Google: NBrand Desktop - Fix Credit 1	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
2879	Google: NBrand Mobile - Fix Credit 1	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
2890	Google: NBrand Desktop - Credit Restore 1	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
2929	Online - PPC Display New12	Online - PPC Display Other	Display	LexingtonLaw	Other	Native	Native	nan	nan
2937	Google: NBrand Desktop - Bad Credit 1	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
2938	Google: NBrand Desktop - Credit Professionals 2	Online - PPC Google NB (Old)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Google	nan	nan
2954	Credit Sesame - Web	Online - Affiliate NB	Affiliate	LexingtonLaw	Other	Other	Other	nan	nan
2996	Online - PPC Display Old9	Online - PPC Display Other	Display	LexingtonLaw	Other	Native	Native	nan	nan
2999	Online - PPC Display Old10	Online - PPC Display Other	Display	LexingtonLaw	Other	Native	Native	nan	nan
3022	Lex P90 SMS Month 10 B	Lead Gen - Remarketing	Lead Gen	LexingtonLaw	Other	Other	Other	nan	nan
3063	Credit Access Email 10.1 - Retired	Remarketing - CA Email	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
3066	LEX_RMKTG_CRAS_6	Remarketing - CA Email	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
3120	LEX_RMKTG_CRAS_5	Remarketing - CA Email	Remarketing	LexingtonLaw	Other	Other	Other	nan	nan
3169	Online - PPC Display New15	Online - PPC Display Other	Display	LexingtonLaw	Other	Native	Native	nan	nan
3194	MSN: Brand Desktop - LEX Reviews 1	Online - PPC Bing BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3195	MSN: Brand Desktop - LEX 2	Online - PPC Bing BR (Old)	Paid Search - Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3217	MSN: NBrand Desktop - Better Credit 2	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3218	MSN: NBrand Desktop - Clean Credit 1	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3219	MSN: NBrand Desktop - Clean Credit 2	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3220	MSN: NBrand Desktop - Clear Credit 1	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3223	MSN: NBrand Desktop - Correct Credit 2	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
3224	MSN: NBrand Desktop - Credit Bureau Names 1	Online - PPC Bing NB (New)	Paid Search - Non-Brand	LexingtonLaw	Other	Other	Bing	nan	nan
